0,5e-06,0.0
428,7.843761,0.177365
442,3.448844,0.081384
472,7.878784,0.195428
1240,4.779241,0.32306
1472,2.571275,0.20667
1595,3.631914,0.318885
2016,1.635267,0.184517
2547,3.855636,0.550293
3759,7.258368,1.555495
3814,3.098462,0.674227
3820,4.146957,0.903519
4847,2.493198,0.697723
4862,4.451317,1.24802
5325,4.149699,1.274102
5485,2.996021,0.950129
5632,3.353772,1.097975
7499,9.229933,4.147969
7736,3.945945,1.835674
7903,8.465575,4.02816
7966,6.370804,3.055661
8087,3.154083,1.539508
8347,3.955256,2.009812
8750,8.965111,4.808034
9702,7.447634,4.522928
9764,6.840438,4.183997
10116,5.738173,3.670852
10255,8.708661,5.674387
10371,8.874205,5.867794
10620,7.36921,5.020051
10772,9.361391,6.492719
10786,9.256838,6.431751
11022,6.514448,4.657185
11933,6.546404,5.224808
12066,9.917443,8.022999
12082,5.538462,4.488223
12671,4.421565,3.818177
12744,5.480091,4.772164
12748,5.109768,4.451981
13341,8.809932,8.223946
13368,7.367728,6.902771
14067,6.331435,6.434849
14596,4.634786,5.016825
14718,2.517808,2.760182
14843,8.329775,9.25728
15419,5.88441,6.973226
15471,2.839238,3.381499
16095,7.242316,9.259198
16495,4.569153,6.114994
16496,1.89897,2.541426
17336,5.006502,7.370189
18852,4.031777,7.204078
19289,5.228784,9.898763
19799,2.179524,4.432894
20865,4.086695,9.745911
20948,4.059005,9.824722
21036,1.086377,2.661819
21500,2.144056,5.710386
21879,2.894283,8.279782
22396,2.413721,7.63677
22686,1.783145,5.973835
23256,2.212605,8.376843
23397,1.985393,7.742932
23457,2.150567,8.520023
23638,1.474776,6.085643
23652,1.465829,6.081014
23877,1.95987,8.588938
24129,0.578997,2.705174
24549,1.712633,8.954439
24753,1.713487,9.509166
25514,1.208775,8.601568
25813,0.701301,5.601801
26714,0.594246,7.282002
26736,0.596305,7.376012
26792,0.44278,5.674935
27006,0.558889,8.231515
27535,0.382999,9.391268
27844,0.199145,8.12391
29198,-0.119802,2.679222
29204,-0.058,1.285826
29222,-0.246337,5.333894
30847,-0.527146,4.088126
31215,-0.328154,2.214126
31220,-0.316527,2.131914
31555,-1.500769,9.169698
32263,-0.494323,2.476731
32897,-1.962415,8.449535
33056,-1.192279,4.95947
33139,-1.10658,4.538001
33412,-1.430089,5.55205
34511,-1.481414,4.696265
36107,-1.409549,3.514856
36522,-3.774746,8.897552
36524,-3.739646,8.814115
37111,-4.125626,8.981866
37173,-1.469312,3.17617
37659,-2.621889,5.336048
37718,-4.055465,8.19518
38846,-3.192462,5.630519
